COMMENT;Designator;FOOTPINT ;LCSC;;
28;MX89;MXOnly-1U-NoLED;1;;
29;MX87;MXOnly-1U-NoLED;1;;
30;MX100;MXOnly-1U-NoLED;1;;
31;MX94;MXOnly-1U-NoLED;1;;
32;MX86;MXOnly-1U-NoLED;1;;
33;MX101;MXOnly-1U-NoLED;1;;
34;MX97;MXOnly-1U-NoLED;1;;
35;MX99;MXOnly-1U-NoLED;1;;
36;MX93;MXOnly-1U-NoLED;1;;
37;MX98;MXOnly-1U-NoLED;1;;
38;MX92;MXOnly-1U-NoLED;1;;
39;MX96;MXOnly-1U-NoLED;1;;
40;MX90;MXOnly-1U-NoLED;1;;
41;MX91;MXOnly-1U-NoLED;1;;
42;USB1;HRO-TYPE-C-31-M-12-HandSoldering;1;;
43;SW1;SW_SPST_SKQG_WithStem;1;;
44;MX72;MXOnly-1.5U-NoLED;1;;
45;MX4;MXOnly-1.25U-NoLED;1;;
46;MX60;MXOnly-1U-NoLED;1;;
47;MX51;MXOnly-1U-NoLED;1;;
48;MX50;MXOnly-1U-NoLED;1;;
49;MX59;MXOnly-1U-NoLED;1;;
50;MX57;MXOnly-1U-NoLED;1;;
51;MX49;MXOnly-1U-NoLED;1;;
52;MX66;MXOnly-1.5U-NoLED;1;;
53;MX55;MXOnly-1.5U-NoLED;1;;
54;MX63;MXOnly-1U-NoLED;1;;
55;MX58;MXOnly-1U-NoLED;1;;
56;MX64;MXOnly-1U-NoLED;1;1;>
58;MX65;MXOnly-1.75U-NoLED;1;;
59;MX56;MXOnly-1U-NoLED;1;;
60;MX53;MXOnly-1U-NoLED;1;;
61;MX61;MXOnly-1U-NoLED;1;;
62;MX62;MXOnly-1U-NoLED;1;;
63;MX52;MXOnly-1U-NoLED;1;;
64;MX85;MXOnly-1U-NoLED;1;;
65;MX81;MXOnly-1U-NoLED;1;;
66;MX76;MXOnly-1U-NoLED;1;;
67;MX82;MXOnly-1U-NoLED;1;;
68;MX69;MXOnly-1U-NoLED;1;;
69;MX83;MXOnly-1U-NoLED;1;;
70;MX78;MXOnly-1U-NoLED;1;;
71;MX80;MXOnly-1U-NoLED;1;;
72;MX84;MXOnly-1U-NoLED;1;;
73;MX77;MXOnly-2U-NoLED;1;;
74;MX73;MXOnly-2.25U-NoLED;1;;
75;MX74;MXOnly-1U-NoLED;1;;
76;MX71;MXOnly-1U-NoLED;1;;
77;MX70;MXOnly-1U-NoLED;1;;
78;MX68;MXOnly-1U-NoLED;1;;
79;MX75;MXOnly-1U-NoLED;1;;
80;MX67;MXOnly-1U-NoLED;1;;
81;MX10;MXOnly-1U-NoLED;1;;
82;MX3;MXOnly-1.25U-NoLED;1;;
83;MX1;MXOnly-1U-NoLED;1;;
84;MX11;MXOnly-1U-NoLED;1;;
85;MX2;MXOnly-1U-NoLED;1;;
86;MX6;MXOnly-1.5U-NoLED;1;;
87;MX12;MXOnly-1U-NoLED;1;;
88;MX5;MXOnly-2.25U-NoLED;1;;
89;MX8;MXOnly-1U-NoLED;1;;
90;MX9;MXOnly-1U-NoLED;1;;
91;MX7;MXOnly-1.75U-NoLED;1;;
92;MX26;MXOnly-1U-NoLED;1;;
93;MX16;MXOnly-1U-NoLED;1;;
94;MX15;MXOnly-1U-NoLED;1;;
95;MX14;MXOnly-1U-NoLED;1;;
96;MX13;MXOnly-1U-NoLED;1;;
97;MX23;MXOnly-1U-NoLED;1;;
98;MX21;MXOnly-1U-NoLED;1;;
99;MX29;MXOnly-1U-NoLED;1;;
100;MX24;MXOnly-1U-NoLED;1;;
101;MX17;MXOnly-1U-NoLED;1;;
102;MX20;MXOnly-1U-NoLED;1;;
103;MX28;MXOnly-1U-NoLED;1;;
104;MX25;MXOnly-1U-NoLED;1;;
105;MX22;MXOnly-1U-NoLED;1;;
106;MX30;MXOnly-1U-NoLED;1;;
107;MX19;MXOnly-1U-NoLED;1;;
108;MX18;MXOnly-1.5U-NoLED;1;;
109;MX27;MXOnly-1U-NoLED;1;;
110;J1;PinHeader_2x3_P2.54mm_Vertical;1;;
111;U2;SOT143B;1;;
112;U1;TQFP-64_14x14mm_P0.8mm;1;;
113;RC7,RC6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;;
114;RC4;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;;
115;RC3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;;
116;RC2,RC1;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;;
117;C8,C7,C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;3;;
118;C5,C2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;;
119;C4,C3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;;
